feature,importance
brake_max,0.33374152
speed_std,0.21789275
throttle_max,0.19163647
time_in_gear_1_pct,0.067055404
accy_std,0.057827305
throttle_mean,0.02532902
brake_std,0.019704936
brake_mean,0.018994328
max_lateral_g,0.016513433
brake_smoothness,0.013365885
avg_gear,0.008947866
steering_smoothness,0.008367722
telemetry_points,0.006583727
stint_number,0.0025338565
accy_mean,0.002092408
accx_mean,0.0019504053
fuel_load_estimate,0.001426876
throttle_smoothness,0.0012970644
time_in_gear_2_pct,0.0012155448
laps_since_pit,0.0010308363
tire_age,0.00089295907
traffic_indicator,0.0006495224
brake_time_pct,0.0002457868
throttle_full_time_pct,0.00023152659
max_accel_g,0.00017570346
time_in_gear_3_pct,0.00013805005
yellow_flag_indicator,5.9051796e-05
steering_angle_mean,4.2940017e-05
throttle_std,2.8921559e-05
speed_max,1.3068666e-05
brake_spike_count,1.0341962e-05
max_braking_g,3.955901e-06
throttle_drop_count,8.8582607e-07
outing,0.0
accx_std,0.0
steering_angle_std,0.0
gear_shifts_count,0.0
steering_corrections,0.0
speed_min,0.0
speed_mean,0.0
time_in_gear_5_pct,0.0
time_in_gear_6_pct,0.0
time_in_gear_4_pct,0.0
steering_angle_max,0.0
wind_speed,0.0
air_temp,0.0
temp_delta_from_start,0.0
track_temp,0.0
humidity,0.0
session_R1,0.0
session_R2,0.0
race_phase_End,0.0
race_phase_Mid,0.0
race_phase_Start,0.0
